team_1,team_2,tournament,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
119,164,20,1,0,-2,0,1,-3,-0.3881,3.105,-66,5,5,3,7,7,-0.73,-1.03,-2,19,-18,9,-3,8,3,-11,0,0
65,188,20,0,2,5,-4,1,2,-1.2874,3.1422,-7,4,1,8,7,8,-0.82,-0.1,3,4,2,-4,-19,20,-5,-4,0,0
10,69,20,-2,0,-1,-7,0,0,5.6573,3.8581,14,-9,-10,-9,-10,-8,4.73,2.13,-35,15,-31,18,-17,-14,2,0,1,-4
49,128,20,-4,10,-3,1,-3,-1,5.3661,3.9642,32,-6,-7,-9,-4,-5,-0.18,1.42,31,7,-2,36,-28,5,-3,28,1,-2
167,173,20,15,3,13,8,6,-3,-12.1212,5.2088,-22,9,8,11,10,8,0.45,0.53,27,-30,9,-18,1,14,-5,14,1,-1
164,188,20,-1,1,9,-11,2,2,0.8792,3.0235,67,-6,-10,-2,-8,-3,-0.36,0.53,-10,-17,-10,5,-14,9,-14,19,1,-3
7,165,20,2,0,8,0,1,0,-6.1411,3.8542,-40,13,14,12,13,6,-0.73,0.77,-15,-22,17,13,14,-3,-7,18,2,3
65,119,20,5,1,-2,4,-2,2,-1.7019,3.1092,-8,5,6,7,8,4,0.27,0.4,15,2,30,-18,-2,3,6,-12,1,-2
32,49,20,0,0,5,9,-1,1,0.3031,3.19,-17,2,-1,1,-1,1,-0.45,-2.57,-13,1,-5,-27,30,8,-9,2,1,-1
90,130,20,1,0,-2,-1,1,3,-14.6,5.8054,-72,18,19,23,18,13,-1.72,-0.27,20,-34,17,28,16,4,-15,8,0,0
65,164,20,2,1,-5,4,-1,-1,-1.3467,3.39,-74,10,11,10,15,11,-0.46,-0.63,13,21,12,-9,-5,11,9,-23,1,-1
119,188,20,4,7,4,-5,1,0,0.0481,1.9526,1,-1,-5,1,-1,4,-1.09,-0.5,-12,2,-28,14,-17,17,-11,8,1,-1
7,72,20,1,0,7,-4,6,-3,-5.8848,4.1,-6,8,10,8,6,5,-0.45,0.63,35,-7,40,-29,29,21,-27,12,2,2
57,161,20,1,0,2,-1,-2,2,-6.32,4.2404,-17,12,11,13,15,12,0.55,1.13,-28,0,6,-14,1,-2,-13,8,2,1
32,128,20,-1,1,-2,6,-6,1,3.5908,3.6841,15,-4,-8,-8,-5,-4,-0.63,-1.15,18,8,-7,9,2,13,-12,30,1,-1
26,146,20,9,2,-6,14,1,-1,-1.1632,2.8984,-2,2,1,2,2,4,-1.09,-1.76,-12,0,-15,-25,4,25,1,-6,0,0
165,188,20,-4,1,10,-4,1,-2,2.9643,3.3008,31,-8,-9,-6,-8,1,0.46,-0.47,21,13,-12,-26,-2,14,-8,-7,1,-1
57,69,20,1,5,3,-3,0,0,-0.375,3.0008,2,1,0,1,3,-2,2.0,1.93,-34,15,5,-5,7,-1,-9,3,1,-3
7,119,20,7,11,8,0,3,-2,-4.4541,3.6622,-10,6,10,5,6,3,0.82,0.8,18,-11,33,-27,29,-6,-4,3,2,2
146,167,20,-7,12,2,-13,-1,2,2.1377,3.1804,1,-4,-3,-5,-4,-3,0.09,1.1,-12,7,19,33,-2,-26,-4,-6,1,-1
26,128,20,1,4,-10,11,1,-1,-2.1038,3.2646,-3,2,0,-1,5,3,-0.27,-0.88,18,-5,-16,10,-8,15,-17,20,1,-1
7,69,20,3,5,8,-2,3,-2,-0.8754,3.2357,1,1,3,0,0,-1,1.0,1.63,-16,-10,13,-12,14,-7,-15,4,1,-4
128,188,20,0,0,11,-7,1,0,-3.8051,3.48,-12,3,1,7,2,6,0.36,-0.35,-16,-6,5,-19,9,15,2,-10,2,1
69,167,20,2,6,0,-2,-3,2,0.2308,3.3185,4,-3,-1,-3,-4,0,-2.36,-0.76,-4,19,7,16,-1,-13,12,-15,1,-1
69,188,20,6,2,7,1,1,-2,-1.9808,3.6104,-10,4,2,6,5,8,-1.27,-1.33,22,1,-8,-1,-2,18,0,7,2,1
128,167,20,1,1,7,-5,0,1,1.7452,3.3515,2,-4,-2,-2,-7,-2,-0.73,0.22,-42,12,20,-2,10,-16,14,-32,0,0
72,145,35,-7,2,0,0,-2,2,2.04,3.1514,-51,-1,-1,-1,3,2,1.27,0.68,-24,0,14,18,10,-13,-15,-17,0,0
49,128,35,-5,10,-11,6,2,-2,3.6118,3.545,6,-6,-8,-8,-2,-5,-0.46,0.64,36,16,-29,6,-17,5,-5,10,2,1
69,146,35,5,5,7,11,0,-1,-1.6026,3.287,-3,2,2,4,1,3,-1.27,-2.84,10,9,20,-4,15,-3,0,-12,2,1
90,167,35,1,10,-18,0,-1,0,3.5489,3.395,11,-4,-1,-4,-3,-1,0.73,0.84,8,-5,24,28,-6,8,5,-10,0,0
44,88,35,-1,3,9,1,1,-3,-1.9812,3.15,-10,1,3,4,2,3,-1.18,-0.08,14,-1,-1,24,11,21,21,12,2,2
57,65,35,7,5,-3,6,0,-1,0.7515,2.9789,-9,0,1,2,-1,-1,0.46,-0.12,15,13,2,15,-1,7,1,-1,0,0
145,150,35,-4,4,2,3,-1,0,0.9237,3.2548,54,-3,-3,-4,-4,-1,-3.0,-1.72,-10,-19,-37,-21,-6,-4,-4,6,0,0
49,146,35,-4,2,-6,1,2,-3,2.7089999999999996,3.4586,5,-6,-7,-7,-6,-4,1.27,-0.28,16,19,10,-1,1,0,-3,-1,1,-1
69,128,35,4,14,0,9,0,1,-0.4234,3.2381,-2,2,1,3,5,2,-3.0,-1.92,30,6,-19,3,-3,2,-2,-1,2,1
44,90,35,2,2,6,0,0,2,0.7243,3.1207,-4,-5,-5,-4,-6,-6,0.0,-0.24,14,9,-26,9,11,16,6,2,0,0
88,167,35,-9,7,-22,1,-4,5,12.2652,6.1196,17,-10,-9,-12,-11,-10,1.91,0.68,8,5,-1,13,-6,3,-10,-20,1,-4
57,172,35,1,9,-4,-6,-1,3,-0.975,3.1139,-10,6,7,6,8,6,-2.18,-1.28,14,17,18,28,-17,1,-12,-15,2,1
72,150,35,-10,5,-4,3,-2,1,3.2304,3.5778,3,-4,-4,-5,-1,1,-1.73,-1.04,-34,-19,-23,-3,4,-17,-19,-11,2,1
49,69,35,-6,3,-13,-3,1,-2,5.2537,3.907,8,-8,-9,-11,-7,-7,2.54,2.56,6,10,-10,3,-14,3,-3,11,1,-1
128,146,35,-5,3,-2,-3,1,-2,-0.23399999999999999,3.5848,-1,0,1,1,-4,1,1.73,-0.92,-20,3,39,-7,18,-5,2,-11,1,-1
44,167,35,-1,1,-11,8,-1,0,7.9574,3.7044,7,-9,-6,-8,-9,-7,0.73,0.6,22,4,-2,37,5,24,11,-8,1,-1
88,90,35,-5,2,-2,1,-1,3,7.0856,4.7148,6,-6,-8,-8,-8,-9,1.18,-0.16,0,10,-25,-15,0,-5,-15,-10,1,-2
65,172,35,4,5,1,-12,-1,4,-3.3789,3.6756,-1,6,6,4,9,7,-2.64,-1.16,-1,4,16,13,-16,-6,-13,-14,1,-2
69,72,35,5,3,12,3,3,-3,-8.7744,5.1793,-12,9,9,11,5,6,-2.63,-2.24,33,1,1,-12,11,20,24,17,2,2
65,167,35,-2,6,-7,1,0,1,2.8815,3.3222,15,-4,-3,-5,-1,-2,-0.73,0.12,11,-4,8,15,-4,-1,-4,-8,1,-2
146,167,35,-7,12,-4,7,-3,1,2.4204,3.2759,4,-5,-4,-6,-4,-4,-1.09,0.72,12,-9,-13,15,-8,10,-3,3,0,0
